Id,short_name,name,region,pop_size,Created at,Updated at
110,GGY,Gualeguay,Litoral,,2018-04-18 18:39:12 UTC,2018-04-18 18:39:12 UTC
109,COS,Cosquin,Centro,,2018-01-09 00:40:58 UTC,2018-01-09 00:40:58 UTC
108,MPS,Mar del Plata Sur,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
107,CAD,Casilda,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
106,DOR,Coronel Dorrego,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
105,ZAR,Zarate,BUENOS AIRES,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
104,VMA,Villa Maria,CENTRO,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
103,VCO1,Villa Constitucion,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
102,CPA,Villa Carlos Paz,Villa Carlos Paz,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
101,VBO,Villa Bosch,AMBA,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
100,BAL,Villa Ballester,AMBA,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
99,VAD,Villa Allende,CENTRO,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
98,VLO,Vicente Lopez,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
97,TAY,Tres Arroyos,SUR,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
96,TOR,Torcuato,AMBA,large,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
95,TAN,Tandil,BUENOS AIRES,large,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
94,SRO,Santa Rosa,SUR,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
93,STF,Santa Fe,LITORAL,small,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
92,SPE1,San Pedro,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
91,NIC,San Nicolas,BUENOS AIRES,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
90,SMM,San Migue Del Monte,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
89,SLO,San Lorenzo,,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:19 UTC
88,FRA,San Francisco,CENTRO,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
87,SFE,San Fernando,AMBA,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
86,STA,Salta,LITORAL,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
85,SAO,Saladillo,SUR,,2017-06-29 14:34:19 UTC,2018-10-05 20:35:52 UTC
84,ROS,Rosario Sur,LITORAL,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
83,ROO,Rosario Oeste,LITORAL,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
82,RON,Rosario Norte,LITORAL,small,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
81,ROH,Rosario HeadEnd,LITORAL,small,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
80,ROC,Rosario centro,LITORAL,small,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
79,RCU,Rio Cuarto,CENTRO,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
78,RET,Retiro,AMBA,large,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
77,RES,Resistencia,LITORAL,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
76,RAF,Rafaela,LITORAL,,2017-06-29 14:34:19 UTC,2017-06-29 14:34:20 UTC
75,CAL,Rafael Calzada,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
74,QUI,Quilmes,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
73,PUA,Punta Alta,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
72,POS,Posadas,LITORAL,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
71,PIN,Pinamar,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
70,PIL,Pilar,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
69,PER,Pergamino,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
68,PCH,Parque Chacabuco,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
67,PAV,Parque Avellaneda,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
66,PRN,Parana,LITORAL,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
65,PAL,Palermo,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
64,OLA,Olavarria,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
63,NEU,Neuquen Oficina Comercial,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
62,NEU,Neuquen,SUR,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
61,NEC,Nocochea,SUR,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
60,MRO,Moreno,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
59,MGR,Monte Grande,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
58,CEN,Centro,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
57,MER,Mercedes,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
56,MJU,Marcos Juarez,CENTRO,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
55,MPM,Mar del Plata,SUR,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:20 UTC
54,LUJ,Lujan,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
53,LOM,Lomas de Zamora,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
52,LIN,Lincoln,Lincoln,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
51,LAN,Lanus,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
50,PLA,La Plata,BUENOS AIRES,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
50,PLS,La Plata,BUENOS AIRES,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
49,JUN,Junin,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
48,JSM,Jesus Maria,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
47,ITU,Ituzaingo,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
46,HAE,Haedo,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
45,GGU,Gualeguaychu,LITORAL,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
44,HOR,Hornos,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
43,GRO,General Roca,SUR,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
42,FOR,Formosa,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
41,FLO,Florida,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
40,FIR1,Firmat,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
39,ESP,Esperanza,LITORAL,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
38,DOL,Dolores,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
