Id,connectivity_type,region,hub,hostname,ip_management,brand,model,serial_number,ot,installation_date,config_status,comments,remote_device,remote_ports,uplink_ports,Created at,Updated at,end_of_support,firmware_version
9,Acceso,AMBA,ALM,SCO-ALM1,10.106.1.42,Transition,S4224,14526155,"",,Instalado,"","","",27-28,2017-05-15 13:15:27 UTC,2018-11-29 14:45:23 UTC,,2.2.9.9
10,Acceso,AMBA,ALM,SCO-ALM10,10.106.1.29,Transition,S4224,14525454,"",,Instalado,Se pide factibilidad a PIM-P OT #162128484 - Se envia instalacion a UM 10/6,"","",27-28,2017-05-15 13:15:27 UTC,2018-11-29 14:45:44 UTC,,2.2.9.9
12,Acceso,AMBA,ALM,SCO-ALM11,10.106.1.61,Transition,S4224,14565237,"",2017-06-06,Instalado,"",SAC-ALM1 - EX4550 - Fibercorp,ge-0/0/22 y  ge-0/0/23,27-28,2017-05-15 13:15:27 UTC,2018-11-29 14:46:09 UTC,,2.2.9.9
11,Acceso,AMBA,ALM,SCO-ALM12,10.106.1.53,Transition,S4224,14557843,"",,Instalado,Se pide factibilidad a PIM-P OT #221115533,"","",27-28,2017-05-15 13:15:27 UTC,2017-06-05 20:17:17 UTC,,
1,Acceso,AMBA,ALM,SCO-ALM2,10.106.1.6,Transition,SM24-100SFP-AH,1033000022,"",,Instalado,"","","",27-28,2017-05-15 13:15:27 UTC,2017-05-19 14:42:19 UTC,,
2,Acceso,AMBA,ALM,SCO-ALM3,10.103.1.4,Transition,S4224,00201A251300,"",,Instalado,"","","",25-26,2017-05-15 13:15:27 UTC,2018-11-29 14:46:32 UTC,,2.2.9.9
4,Acceso,AMBA,ALM,SCO-ALM4,10.106.1.3,Transition,SM24-100SFP-AH,1033000004,"",,Instalado,"","","",27-28,2017-05-15 13:15:27 UTC,2017-06-05 20:14:08 UTC,,
5,Acceso,AMBA,ALM,SCO-ALM6,10.106.1.4,Transition,SM24-100SFP-AH,1033000073,"",,Instalado,"","","",27-28,2017-05-15 13:15:27 UTC,2017-06-05 20:14:53 UTC,,
6,Acceso,AMBA,ALM,SCO-ALM7,10.106.1.7,Transition,SM24-100SFP-AH,1010000013,"",,Instalado,"","","",27-28,2017-05-15 13:15:27 UTC,2017-06-05 20:15:34 UTC,,
3,Acceso,AMBA,ALM,SCO-ALM8,10.103.1.8,Transition,SM24-100SFP-AH,0012CFFA1DE4,"",,Instalado,"","","","",2017-05-15 13:15:27 UTC,2017-06-05 20:14:28 UTC,,
7,Acceso,AMBA,ALM,SCO-ALM8,10.106.1.40,Transition,SM24-100SFP-AH,1033000034,"",,Instalado,"","","",27-28,2017-05-15 13:15:27 UTC,2017-06-05 20:16:00 UTC,,
8,Acceso,AMBA,ALM,SCO-ALM9,10.106.1.41,Transition,S4224,1013000065,"",,Instalado,#101157531 UM 25/06,"","",27-28,2017-05-15 13:15:27 UTC,2018-11-29 14:46:55 UTC,,2.2.9.9
22,Acceso,AMBA,AVA,SAC.AVA1,10.106.13.105,Juniper,EX4550,"","",,Instalado,"","","","",2017-05-15 13:15:28 UTC,2017-09-28 14:04:11 UTC,,
13,Acceso,AMBA,AVA,SCO2.AVA-OA2000,10.103.13.4,MRV,MRV OA2000,00201A251160,,,Instalado,,,,25-26,2017-05-15 13:15:28 UTC,2017-05-15 13:15:33 UTC,,
14,Acceso,AMBA,AVA,SCO3.AVA-OA2000,10.103.13.5,MRV,MRV OA2000,00201A2D9020,,,Instalado,,,,25-26,2017-05-15 13:15:28 UTC,2017-05-15 13:15:33 UTC,,
17,Acceso,AMBA,AVA,SCO3.AVA-TRANSITION,10.106.13.18,Transition,SM24-100SFP-AH,1013000078,"",,Instalado,29/05 Se envio pedido de instalacion de UM - OT 42703211,"","",27-28,2017-05-15 13:15:28 UTC,2018-11-14 19:26:05 UTC,,""
15,Acceso,AMBA,AVA,SCO4.AVA-TRANSITION,10.106.13.15,Transition,SM24-100SFP-AH,1013000106,,,Instalado,23/02 Se pide factibilidad a Pim-P ( Ot: 5212662 ),,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:33 UTC,,
16,Acceso,AMBA,AVA,SCO5.AVA-TRANSITION,10.106.13.2,Transition,SM24-100SFP-AH,1013000097,,,Instalado,Se dio de alta por UM el dia 30/03/2011 - Eth1/27 y ETH1/28,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:33 UTC,,
